yes,yes,Yes,yes sir,es,yet,
yes,yes,yeah,Yes,Yahoo,yiff,
yes,yes,yet,Yes,yeah,yep,
yes,yep,yup,Yelp,Yahoo,yeah,
yes,yeah,ya,Yahoo,yes,Kia,
yes,yeah,Yahoo,ya,yes,yep,
yes,yep,yup,Yelp,Yahoo,yeah,
yes,I did,ideas,did,I didn't,I did it,
yes,I did,did,I didn't,I did it,I didn,eyelid
yes,I do,IDEO,IDO,why do,do,
yes,I do,IDEO,IDO,why do,video,
yes,I would,Atwood,,,,
yes,I would,I was,I will,I want,I wish,
yes,yes please,yes place,yes. Place,place,Yelp place,yellow place
yes,yes please,please,lease,yes lease,is please,is lease
yes,please,plea,pleased,pleas,lease,
yes,please do,is due,video,is this,Facebook,
yes,yes please,,,,,
no,no,No,now,know,noe,
no,no,now,No,know,noe,
no,note,nope,note 2,new,notes,
no,nope,note,no,note 2,new,
no,no thank you,no thank u,news in Q,,,
no,na na,na na na,nom,na,non,
no,no I don't,no I dont,no I don't know,,,
no,no I don't,no I dont,now I don't,no I don't know,no I don't eat,
no,now,no,No,know,Eno,
